Combination (Generic A + Generic B),Result,Reasoning / Warning
Paracetamol + Paracetamol,Unsafe,Therapeutic Duplication: Both contain Paracetamol. High risk of toxic overdose.
Paracetamol + Paracetamol + Caffeine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Flunarizine,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Tolfenamic Acid,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Fexofenadine,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Cetirizine,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Desloratadine,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Ambroxol,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Butamirate Citrate,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Ketorolac,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Etoricoxib,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Aspirin,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Clopidogrel,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Atorvastatin,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Rosuvastatin,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Omeprazole,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Esomeprazole,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Pantoprazole,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Antacid (Al + Mg),Caution,Antacids (Entacyd) can block the absorption of Paracetamol. Space doses by 2-4 hours.
Paracetamol + Aceclofenac,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Naproxen,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Diclofenac,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Losartan Potassium,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Amlodipine,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Bisoprolol,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Telmisartan,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Metformin,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Gliclazide,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Linagliptin,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Sitagliptin,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Bromazepam,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Diazepam,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Clonazepam,Safe,No high-risk chemical interaction documented for this combination.
Paracetamol + Caffeine + Paracetamol + Caffeine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Flunarizine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Tolfenamic Acid,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Fexofenadine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Cetirizine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Desloratadine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Ambroxol,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Butamirate Citrate,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Ketorolac,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Etoricoxib,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Aspirin,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Clopidogrel,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Atorvastatin,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Rosuvastatin,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Omeprazole,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Esomeprazole,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Pantoprazole,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Antacid (Al + Mg),Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Aceclofenac,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Naproxen,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Diclofenac,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Losartan Potassium,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
Paracetamol + Caffeine + Amlodipine,Unsafe,Therapeutic Duplication: Both contain Paracetamol. Double-dosing increases liver failure risk.
